"symbol_name","symbol_module","symbol_filename","input_section","symbol_size","symbol_address","symbol_physical_memory","symbol_out_section","symbol_output_section","symbol_realtime","symbol_access_count","symbol_hw_usage","symbol_folder_name_for_file"
"symbol_0","module_13","file_56.c","data",1809,"0x8c6e0102","sysram","sysram_data","ro_after_write","Medium",68,"No","base/exthal"
"symbol_1","module_11","file_66.c","data",223,"0x81ca5746","ilm","ilm_data","init","Low",90,"No","core/system"
"symbol_2","module_5","file_12.c","bss",601,"0x82828804","ext_memory2","ext_memory2_data","ro_after_write","Medium",17,"No","open_core/system"
"symbol_3","module_14","file_8.c","bss",998,"0x82218f6c","sysram","sysram_data","ro_after_write","Low",32,"No","core/mlm"
"symbol_4","module_8","file_55.c","code",503,"0x8d9ad209","sysram","sysram_code","ro_after_write","High",32,"No","open_core/rlm"
"symbol_5","module_2","file_51.c","bss",1168,"0x84888b23","ilm","ilm_data","always_power_on","Medium",89,"Yes","core/middle"
"symbol_6","module_2","file_18.c","bss",1244,"0x8364ef46","ilm","ilm_data","ro_after_write","Medium",17,"No","customer"
"symbol_7","module_7","file_48.c","code",1837,"0x8a05253c","ilm","ilm_code","always_power_on","Low",42,"Yes","core/mlm"
"symbol_8","module_7","file_55.c","bss",1294,"0x80357845","ilm","ilm_data","data","Medium",46,"Yes","open_base/prj_ram"
"symbol_9","module_8","file_61.c","data",1360,"0x877e403c","sysram","sysram_data","ro_after_write","Medium",21,"No","base/hal"
"symbol_10","module_15","file_25.c","data",711,"0x82a31f63","ilm","ilm_data","code","Medium",33,"Yes","custom/system"
"symbol_11","module_2","file_25.c","data",74,"0x8d939525","dlm","dlm_data","data","Medium",32,"No","custom/system"
"symbol_12","module_5","file_80.c","data",753,"0x839d965b","ilm","ilm_data","always_power_on","High",20,"Yes","open_core/rlm"
"symbol_13","module_1","file_42.c","code",1272,"0x8df546b6","ext_memory1","ext_memory1_code","init","Low",60,"Yes","open_base/exthal"
"symbol_14","module_7","file_20.c","bss",1199,"0x86d04c69","dlm","dlm_data","code","Low",3,"Yes","base/exthal"
"symbol_15","module_6","file_31.c","data",637,"0x8c3fa282","dlm","dlm_data","data","High",93,"No","open_core/middle"
"symbol_16","module_9","file_59.c","bss",688,"0x8673b812","ilm","ilm_data","data","Low",11,"Yes","base/hal"
"symbol_17","module_3","file_74.c","code",1815,"0x858972fd","ilm","ilm_code","init","Low",28,"Yes","open_base/prj_ram"
"symbol_18","module_7","file_43.c","code",1577,"0x8f853cc7","ilm","ilm_code","always_power_on","Medium",34,"Yes","customer"
"symbol_19","module_8","file_52.c","bss",304,"0x82529867","dlm","dlm_data","code","Medium",22,"Yes","custom/system"
"symbol_20","module_5","file_47.c","code",1901,"0x80127385","sysram","sysram_code","data","Low",2,"Yes","base/prj_ram"
"symbol_21","module_13","file_13.c","code",709,"0x8aff880f","dlm","dlm_code","init","Low",1,"Yes","open_core/system"
"symbol_22","module_9","file_22.c","data",1561,"0x8a0f2533","dlm","dlm_data","data","Medium",32,"Yes","open_base/exthal"
"symbol_23","module_6","file_6.c","code",1044,"0x866f5f28","ext_memory2","ext_memory2_code","ro_after_write","Medium",13,"No","core/system"
"symbol_24","module_7","file_69.c","data",1462,"0x8b767299","ilm","ilm_data","ro_after_write","Low",86,"Yes","core/system"
"symbol_25","module_13","file_49.c","bss",706,"0x8e5b7123","ilm","ilm_data","always_power_on","Low",25,"No","core/middle"
"symbol_26","module_15","file_61.c","code",84,"0x81c50036","sysram","sysram_code","data","High",94,"Yes","open_base/hal"
"symbol_27","module_5","file_9.c","code",2035,"0x825fa80d","dlm","dlm_code","code","Low",59,"No","base/prj_ram"
"symbol_28","module_10","file_44.c","bss",499,"0x82244b4c","ext_memory2","ext_memory2_data","always_power_on","Medium",64,"Yes","open_core/system"
"symbol_29","module_7","file_8.c","code",919,"0x8ae2219c","ilm","ilm_code","data","High",64,"No","custom/system"
"symbol_30","module_5","file_58.c","data",607,"0x8c25c992","sysram","sysram_data","data","Low",1,"No","open_base/exthal"
"symbol_31","module_7","file_70.c","bss",144,"0x80a376ca","sysram","sysram_data","ro_after_write","Low",52,"Yes","open_core/middle"
"symbol_32","module_6","file_75.c","bss",539,"0x8b6b66e9","dlm","dlm_data","code","Medium",67,"No","open_core/rlm"
"symbol_33","module_14","file_21.c","code",1506,"0x8a061706","dlm","dlm_code","code","Low",97,"Yes","open_base/exthal"
"symbol_34","module_14","file_51.c","bss",856,"0x8ccc0032","dlm","dlm_data","always_power_on","High",60,"Yes","core/middle"
"symbol_35","module_3","file_12.c","data",1230,"0x8ff90f40","dlm","dlm_data","init","High",13,"Yes","customer"
"symbol_36","module_14","file_76.c","bss",737,"0x883b92ac","ilm","ilm_data","ro_after_write","Medium",19,"Yes","customer"
"symbol_37","module_11","file_68.c","bss",1785,"0x8bbbab8f","ext_memory1","ext_memory1_data","always_power_on","Low",83,"Yes","open_core/mlm"
"symbol_38","module_5","file_28.c","code",1712,"0x886ccc28","ilm","ilm_code","ro_after_write","Low",29,"Yes","open_core/middle"
"symbol_39","module_14","file_13.c","bss",550,"0x86f5339d","dlm","dlm_data","ro_after_write","Medium",18,"No","core/rlm"
"symbol_40","module_15","file_19.c","code",1010,"0x8748a30f","dlm","dlm_code","always_power_on","Medium",11,"Yes","core/system"
"symbol_41","module_16","file_72.c","data",19,"0x89abeac1","ilm","ilm_data","init","Medium",42,"Yes","core/middle"
"symbol_42","module_3","file_75.c","bss",928,"0x8166b45e","sysram","sysram_data","init","High",54,"Yes","base/exthal"
"symbol_43","module_5","file_6.c","code",1668,"0x88038a65","dlm","dlm_code","code","Low",67,"Yes","open_base/prj_ram"
"symbol_44","module_7","file_25.c","data",1113,"0x882df68b","ilm","ilm_data","init","High",5,"Yes","open_base/exthal"
"symbol_45","module_13","file_48.c","code",718,"0x8a5fec12","dlm","dlm_code","data","Low",93,"No","core/rlm"
"symbol_46","module_12","file_76.c","code",1612,"0x81a4944e","sysram","sysram_code","always_power_on","Medium",2,"No","open_core/system"
"symbol_47","module_8","file_20.c","bss",320,"0x8bfedb90","ilm","ilm_data","code","Medium",50,"No","open_base/prj_ram"
"symbol_48","module_8","file_35.c","bss",1561,"0x82b79a72","dlm","dlm_data","code","Medium",51,"No","open_core/mlm"
"symbol_49","module_5","file_39.c","data",1165,"0x812bdcb7","ilm","ilm_data","data","High",99,"No","open_base/prj_ram"
"symbol_50","module_9","file_29.c","data",225,"0x8068f974","ilm","ilm_data","ro_after_write","Medium",36,"No","customer"
